year,production_gwh,consumption_gwh
2004,11499.3,8825.0
2005,12648.3,8402.0
2006,13664.5,10495.0
2007,14630.3,11193.0
2008,16049.4,12850.0
2009,18445.3,14483.0
2010,17634.5,16133.0
2011,21870.9,18512.0
2012,25017.3,20958.2
2013,26238.1,22790.7
2014,29128.0,25172.1
2015,32189.0,28912.0
2016,33600.0,30359.0
2017,35672.58742116,32349.0
2018,37191.8558501268,33547.4893617515
2019,37533.6246664072,33796.0432243984
2020,38321.5491027861,33156.0
2021,40992.2744905302,35661.164
2022,42510.6205677306,36178.6
2023,44965.7384302603,39296.0
2024,49131.9855890483,42156.3
2025,50973.5,45033.1
