year,price_basis,gdp_mn_omr
2010,constant,26293.7156309943
2010,current,24990.0193717838
2011,constant,27054.766060048
2011,current,29797.7556543731
2012,constant,29452.7424086866
2012,current,33608.681120581
2013,constant,30992.3681412488
2013,current,34580.4425294138
2014,constant,31392.9
2014,current,35642.8
2015,constant,32967.9
2015,current,30264.3
2016,constant,34631.6
2016,current,28887.0
2017,constant,34736.9
2017,current,31089.4
2018,constant,35184.0
2018,current,35184.0
2019,constant,34786.9
2019,current,33859.4
2020,constant,33611.2
2020,current,29187.2
2021,constant,34479.2
2021,current,33576.0
2022,constant,37232.5
2022,current,42238.4
2023,constant,37674.5
2023,current,40824.2
2024,current,41194.3
