year,crude_production_kbbl_day,crude_exports_kbbl_day,crude_price_usd_bbl,gas_production_mn_scf
2002,897.0,838.0,24.0,789361.0
2003,819.0,763.0,28.0,852076.0
2004,780.0,722.0,34.0,852856.0
2005,774.0,718.0,50.0,917746.0
2006,738.0,638.0,62.0,1068888.0
2007,710.0,608.0,65.0,1070736.0
2008,757.0,594.0,101.0,1069630.0
2009,812.5,688.0,56.7,1097661.0
2010,864.6,745.0,76.6,1176803.0
2011,884.9,738.1,103.0,1228521.0
2012,918.5,764.5,109.6,1271731.0
2013,941.9,833.4,105.5,1383959.0
2014,943.5,800.34,103.2,1332788.0
2015,981.1,844.2,56.5,1408489.0
2016,1004.3,879.6,40.1,1445381.5
2017,970.6,806.1,51.3,1447422.2
2018,978.4,792.6,69.7,1617735.4
2019,970.9,850.2,63.6,1647213.1
2020,950.7,784.3,46.0,1646459.1
2021,971.2,791.7,64.3,1775895.2
2022,1064.2,871.2,95.4,1842105.3
2023,1048.7,850.2,82.3,1908026.67888404
