month,flow,value_omr_mn
2006-07,exports,778.1
2006-07,imports,327.2
2006-07,re_exports,63.2
2006-08,exports,674.0
2006-08,imports,381.1
2006-08,re_exports,65.2
2006-09,exports,665.1
2006-09,imports,348.5
2006-09,re_exports,66.6
2006-10,exports,690.1
2006-10,imports,358.6
2006-10,re_exports,68.3
2006-11,exports,660.7
2006-11,imports,418.1
2006-11,re_exports,75.9
2006-12,exports,746.0
2006-12,imports,399.8
2006-12,re_exports,72.6
2007-01,exports,597.3
2007-01,imports,402.8
2007-01,re_exports,71.9
2007-02,exports,777.4
2007-02,imports,470.3
2007-02,re_exports,81.6
2007-03,exports,686.8
2007-03,imports,465.0
2007-03,re_exports,82.1
2007-04,exports,693.5
2007-04,imports,487.5
2007-04,re_exports,92.2
2007-05,exports,732.1
2007-05,imports,547.1
2007-05,re_exports,94.3
2007-06,exports,690.1
2007-06,imports,352.2
2007-06,re_exports,63.8
2007-07,exports,804.5
2007-07,imports,552.3
2007-07,re_exports,81.7
2007-08,exports,831.6
2007-08,imports,566.6
2007-08,re_exports,89.0
2007-09,exports,770.1
2007-09,imports,577.6
2007-09,re_exports,73.6
2007-10,exports,776.4
2007-10,imports,579.3
2007-10,re_exports,77.1
2007-11,exports,953.4
2007-11,imports,546.6
2007-11,re_exports,98.0
2007-12,exports,989.0
2007-12,imports,617.6
2007-12,re_exports,98.7
2008-01,exports,994.1
2008-01,imports,645.5
2008-01,re_exports,116.0
2008-02,exports,1035.9
2008-02,imports,616.4
2008-02,re_exports,98.7
2008-03,exports,1196.0
2008-03,imports,772.7
2008-03,re_exports,215.2
2008-04,exports,1090.3
2008-04,imports,794.1
2008-04,re_exports,151.3
2008-05,exports,1269.1
2008-05,imports,650.9
2008-05,re_exports,121.7
2008-06,exports,1138.0
2008-06,imports,747.8
2008-06,re_exports,106.4
2008-07,exports,1404.5
2008-07,imports,691.7
2008-07,re_exports,112.9
2008-08,exports,1498.6
2008-08,imports,889.7
2008-08,re_exports,134.7
2008-09,exports,1456.2
2008-09,imports,672.6
2008-09,re_exports,122.0
2008-10,exports,1341.4
2008-10,imports,857.5
2008-10,re_exports,116.7
2008-11,exports,1247.9
2008-11,imports,789.8
2008-11,re_exports,127.7
2008-12,exports,853.2
2008-12,imports,769.9
2008-12,re_exports,92.4
2009-01,exports,844.5
2009-01,imports,736.7
2009-01,re_exports,162.1
2009-02,exports,652.2
2009-02,imports,610.9
2009-02,re_exports,111.7
2009-03,exports,733.7
2009-03,imports,607.4
2009-03,re_exports,133.7
2009-04,exports,716.9
2009-04,imports,548.0
2009-04,re_exports,143.2
2009-05,exports,755.6
2009-05,imports,465.4
2009-05,re_exports,134.4
2009-06,exports,860.2
2009-06,imports,538.4
2009-06,re_exports,236.5
2009-07,exports,877.8
2009-07,imports,506.9
2009-07,re_exports,166.8
2009-08,exports,990.7
2009-08,imports,563.4
2009-08,re_exports,185.2
