year,metric,count
2002,accidents,9107
2002,deaths,580
2002,injuries,7907
2003,accidents,10197
2003,deaths,578
2003,injuries,6735
2004,accidents,9460
2004,deaths,637
2004,injuries,6636
2005,accidents,9247
2005,deaths,689
2005,injuries,6658
2006,accidents,9869
2006,deaths,681
2006,injuries,7548
2007,accidents,8816
2007,deaths,798
2007,injuries,8531
2008,accidents,7982
2008,deaths,951
2008,injuries,10558
2009,accidents,7253
2009,deaths,953
2009,injuries,9783
2010,accidents,7571
2010,deaths,820
2010,injuries,10066
2011,accidents,7719
2011,deaths,1056
2011,injuries,11437
2012,accidents,8209
2012,deaths,1139
2012,injuries,11618
2013,accidents,7829
2013,deaths,913
2013,injuries,10802
2014,accidents,6717
2014,deaths,816
2014,injuries,3835
2015,accidents,6279
2015,deaths,675
2015,injuries,3624
2016,accidents,4721
2016,deaths,692
2016,injuries,3261
2017,accidents,3845
2017,deaths,640
2017,injuries,3134
2018,accidents,2802
2018,deaths,637
2018,injuries,2815
2019,accidents,2120
2019,deaths,511
2019,injuries,2442
2020,accidents,1341
2020,deaths,371
2020,injuries,1365
2021,accidents,1539
2021,deaths,434
2021,injuries,1621
2022,accidents,1877
2022,deaths,532
2023,accidents,2040
2023,deaths,595
2024,accidents,1854
2024,deaths,586
2025,deaths,595
