month,fuel_type,price_baisa,source
2015-12,diesel,146,archive-corroborated
2015-12,m91,114,archive-corroborated
2015-12,m95,120,archive-corroborated
2016-01,diesel,160,archive-corroborated
2016-01,m91,140,archive-corroborated
2016-01,m95,160,archive-corroborated
2016-02,diesel,146,archive-single-source
2016-02,m91,137,archive-single-source
2016-02,m95,153,archive-single-source
2016-03,diesel,146,archive-single-source
2016-03,m91,130,archive-single-source
2016-03,m95,145,archive-single-source
2016-04,diesel,163,archive-single-source
2016-04,m91,145,archive-single-source
2016-04,m95,158,archive-single-source
2016-05,diesel,166,archive-single-source
2016-05,m91,149,archive-single-source
2016-05,m95,161,archive-single-source
2016-06,diesel,185,archive-single-source
2016-06,m91,170,archive-single-source
2016-06,m95,180,archive-single-source
2016-07,diesel,188,archive-corroborated
2016-07,m91,170,archive-corroborated
2016-07,m95,180,archive-corroborated
2016-08,diesel,178,archive-corroborated
2016-08,m91,156,archive-corroborated
2016-08,m95,166,archive-corroborated
2016-09,diesel,176,archive-corroborated
2016-09,m91,161,archive-corroborated
2016-09,m95,170,archive-corroborated
2016-10,diesel,185,archive-corroborated
2016-10,m91,169,archive-corroborated
2016-10,m95,179,archive-corroborated
2016-11,diesel,187,archive-corroborated
2016-11,m91,173,archive-corroborated
2016-11,m95,183,archive-corroborated
2016-12,diesel,177,archive-corroborated
2016-12,m91,165,archive-corroborated
2016-12,m95,176,archive-corroborated
2017-01,diesel,195,archive-corroborated
2017-01,m91,176,archive-corroborated
2017-01,m95,186,archive-corroborated
2017-02,diesel,205,archive-corroborated
2017-02,m91,186,archive-corroborated
2017-02,m95,196,archive-corroborated
2017-03,diesel,208,archive-corroborated
2017-03,m91,186,archive-corroborated
2017-03,m95,198,archive-corroborated
2017-04,diesel,200,archive-corroborated
2017-04,m91,180,archive-corroborated
2017-04,m95,192,archive-corroborated
2017-05,diesel,204,archive-corroborated
2017-05,m91,186,archive-corroborated
2017-05,m95,199,archive-corroborated
2017-06,diesel,197,archive-corroborated
2017-06,m91,180,archive-corroborated
2017-06,m95,191,archive-corroborated
2017-07,diesel,192,archive-corroborated
2017-07,m91,175,archive-corroborated
2017-07,m95,183,archive-corroborated
2017-08,diesel,196,archive-corroborated
2017-08,m91,178,archive-corroborated
2017-08,m95,186,archive-corroborated
2017-09,diesel,201,archive-corroborated
2017-09,m91,186,archive-corroborated
2017-09,m95,196,archive-corroborated
2017-10,diesel,211,archive-corroborated
2017-10,m91,186,archive-corroborated
2017-10,m95,205,archive-corroborated
2017-11,diesel,213,archive-corroborated
2017-11,m91,186,archive-corroborated
2017-11,m95,201,archive-corroborated
2017-12,diesel,219,archive-corroborated
2017-12,m91,186,archive-corroborated
2017-12,m95,209,archive-corroborated
2018-01,diesel,230,archive-corroborated
2018-01,m91,199,archive-corroborated
2018-01,m95,213,archive-corroborated
2018-02,diesel,244,archive-corroborated
2018-02,m91,207,archive-corroborated
2018-02,m95,218,archive-corroborated
2018-03,diesel,238,archive-corroborated
2018-03,m91,205,archive-corroborated
2018-03,m95,216,archive-corroborated
2018-04,diesel,238,archive-corroborated
2018-04,m91,205,archive-corroborated
2018-04,m95,216,archive-corroborated
2018-05,diesel,245,archive-corroborated
2018-05,m91,212,archive-corroborated
2018-05,m95,222,archive-corroborated
2018-06,diesel,249,archive-corroborated
2018-06,m91,215,archive-corroborated
2018-06,m95,226,archive-corroborated
2018-07,diesel,245,archive-corroborated
2018-07,m91,214,archive-corroborated
